id,nombre,categoria,precio_carrefour,precio_coto,precio_dia,precio_jumbo,precio_changomas
P00001,Bizcochitos Don Satur 200g,Panificados,9804.82,7484.31,8075.32,7510.87,9577.8
P00002,Queso Cremoso Tregar 1Kg x4,Lácteos,3389.46,3730.67,3785.9,3633.54,3817.86
P00003,Arroz Gallo Oro 1Kg,Almacén,9125.71,8167.93,6658.5,8352.8,8885.02
P00004,Suavizante Comfort 900ml,Limpieza,8042.73,8303.85,9620.13,9069.39,10194.34
P00005,Leche Ilolay Descremada 1L,Lácteos,9100.39,11074.01,8979.23,8895.83,8165.04
P00006,Agua Villavicencio 2.25L,Bebidas,2661.11,2661.17,2673.73,2545.68,3005.45
P00007,Detergente Magistral Limón 750ml x3,Limpieza,3661.99,4475.23,3251.75,3610.34,3381.21
P00008,Arroz Gallo Oro 1Kg,Almacén,6707.95,8005.32,8111.85,8570.74,8520.16
P00009,Azúcar Ledesma 1Kg,Almacén,2034.18,2134.99,1995.0,1949.1,2427.38
P00010,Jabón Dove Original 90g,Higiene,11161.55,12180.43,12580.88,13067.53,10957.61
P00011,Lavandina Ayudín 1L,Limpieza,7896.39,8199.79,8426.81,9332.77,9762.69
P00012,Coca-Cola 2.25L,Bebidas,5104.51,7015.6,6908.6,6938.68,5551.86
P00013,Manteca Sancor 200g,Lácteos,9215.28,10207.1,8219.61,10358.46,7761.86
P00014,Bizcochitos Don Satur 200g,Panificados,6178.74,7154.61,6436.33,7121.2,5720.84
P00015,Yerba Playadito 1Kg x5,Almacén,2315.81,2944.2,2881.93,2611.33,2963.01
P00016,Harina Blancaflor 1Kg,Almacén,2852.86,3141.17,3617.16,3047.8,2852.52
P00017,Leche Ilolay Descremada 1L,Lácteos,3299.44,3413.23,4129.68,3269.21,3550.91
P00018,Papel Higiénico Higienol 4 Rollos,Higiene,10470.94,7758.17,10097.48,9910.82,10014.96
P00019,Bizcochitos Don Satur 200g,Panificados,900.14,879.43,1133.5,1102.53,1102.34
P00020,Yerba Playadito 1Kg,Almacén,7105.15,7018.56,7427.45,6876.05,7509.05
P00021,Coca-Cola 2.25L,Bebidas,1696.13,1805.53,1697.19,1531.5,1604.5
P00022,Cerveza Heineken 1L,Bebidas,1103.05,1277.22,1101.02,1153.35,994.72
P00023,Bizcochitos Don Satur 200g,Panificados,8336.01,8249.33,9437.64,10243.87,8236.72
P00024,Jabón Dove Original 90g,Higiene,4372.11,4500.79,3924.53,4871.0,4564.61
P00025,Pan Lactal Fargo 600g,Panificados,4134.3,3582.75,3685.81,4463.18,3875.94
