id,nombre,categoria,precio_carrefour,precio_coto,precio_dia,precio_jumbo,precio_changomas
P00001,Leche La Serenísima Entera 1L,Lácteos,1320.55,1480.22,1190.10,1650.44,1080.33
P00002,Leche La Serenísima Descremada 1L,Lácteos,1280.40,1520.33,1150.22,1700.55,1120.10
P00003,Leche Ilolay Entera 1L,Lácteos,1180.22,1350.10,1090.55,1500.33,980.44
P00004,Leche Ilolay Descremada 1L,Lácteos,1200.33,1380.44,1120.10,1550.55,1020.22
P00005,Leche Milkaut Entera 1L,Lácteos,1250.55,1400.22,1180.33,1600.44,1100.10
P00006,Leche Milkaut Descremada 1L,Lácteos,1230.44,1420.55,1160.22,1580.33,1080.77
P00007,Yogur La Serenísima Frutilla 1Kg,Lácteos,2100.22,2400.55,1850.33,2600.44,1950.10
P00008,Yogur La Serenísima Vainilla 1Kg,Lácteos,2050.33,2380.10,1820.55,2550.22,1900.44
P00009,Yogur Ilolay Frutilla 1Kg,Lácteos,1980.22,2300.44,1750.33,2500.55,1850.10
P00010,Yogur Ilolay Durazno 1Kg,Lácteos,2000.55,2320.33,1780.22,2520.44,1880.77
P00011,Manteca La Serenísima 200g,Lácteos,1850.22,2100.55,1600.33,2400.44,1700.10
P00012,Manteca Milkaut 200g,Lácteos,1800.33,2050.10,1580.55,2350.22,1680.44
P00013,Crema de Leche La Serenísima 200cc,Lácteos,950.22,1100.55,850.33,1300.44,780.10
P00014,Crema de Leche Milkaut 200cc,Lácteos,920.33,1080.10,830.55,1280.22,760.44
P00015,Queso Cremoso La Serenísima 1Kg,Lácteos,3500.22,3900.55,3100.33,4200.44,2950.10
P00016,Queso Cremoso Ilolay 1Kg,Lácteos,3400.33,3800.10,3000.55,4100.22,2850.44
P00017,Queso Barra La Serenísima 1Kg,Lácteos,4200.22,4600.55,3800.33,5000.44,3600.10
P00018,Queso Barra Milkaut 1Kg,Lácteos,4100.33,4550.10,3750.55,4950.22,3550.44
P00019,Queso Rallado La Serenísima 40g,Lácteos,750.22,880.55,650.33,990.44,590.10
P00020,Queso Rallado Milkaut 40g,Lácteos,720.33,850.10,630.55,960.22,570.44
P00021,Yerba Playadito 1Kg,Almacén,3500.22,3300.10,4200.55,3900.33,3100.44
P00022,Yerba Amanda 1Kg,Almacén,3300.33,3100.55,4000.22,3800.44,2950.10
P00023,Yerba Nobleza Gaucha 1Kg,Almacén,3100.22,2950.10,3800.55,3600.33,2800.44
P00024,Yerba Rosamonte 1Kg,Almacén,3600.33,3400.55,4300.22,4100.44,3200.10
P00025,Aceite Natura Girasol 900ml,Almacén,1800.22,1950.10,1650.55,2100.33,1500.44
P00026,Aceite Cocinero Girasol 900ml,Almacén,1750.33,1900.55,1600.22,2050.44,1480.10
P00027,Aceite Ideal Girasol 900ml,Almacén,1700.22,1850.10,1580.55,2000.33,1450.44
P00028,Arroz Gallo Oro 1Kg,Almacén,950.22,1100.55,780.33,1300.44,720.10
P00029,Arroz Dos Hermanos 1Kg,Almacén,900.33,1050.10,750.55,1250.22,700.44
P00030,Arroz Lucchetti 1Kg,Almacén,880.22,1020.55,740.33,1220.44,690.10
P00031,Fideos Matarazzo Tirabuzón 500g,Almacén,750.22,880.10,650.55,990.33,600.44
P00032,Fideos Lucchetti Spaghetti 500g,Almacén,720.33,850.55,630.22,960.44,580.10
P00033,Fideos Knorr Mostachol 500g,Almacén,700.22,820.10,610.55,940.33,560.44
P00034,Harina Blancaflor 0000 1Kg,Almacén,650.22,780.55,550.33,900.44,500.10
P00035,Harina Pureza 0000 1Kg,Almacén,630.33,760.10,540.55,880.22,490.44
P00036,Azúcar Ledesma 1Kg,Almacén,750.22,880.55,650.33,990.44,600.10
P00037,Azúcar Chango 1Kg,Almacén,720.33,850.10,630.55,960.22,580.44
P00038,Sal Dos Anclas 500g,Almacén,300.22,380.55,250.33,450.44,220.10
P00039,Sal Celusal 500g,Almacén,320.33,400.10,260.55,470.22,230.44
P00040,Gaseosa Coca Cola 2.25L,Bebidas,2100.22,2400.55,1850.33,2600.44,1950.10
P00041,Gaseosa Pepsi 2.25L,Bebidas,2000.33,2300.10,1750.55,2500.22,1850.44
P00042,Gaseosa Manaos Cola 2.25L,Bebidas,1500.22,1700.55,1300.33,1900.44,1200.10
P00043,Gaseosa Sprite 2.25L,Bebidas,2050.33,2350.10,1800.55,2550.22,1900.44
P00044,Gaseosa Fanta Naranja 2.25L,Bebidas,2000.22,2300.55,1750.33,2500.44,1850.10
P00045,Agua Mineral Villa del Sur 2L,Bebidas,900.22,1100.55,750.33,1300.44,700.10
P00046,Agua Mineral Eco de los Andes 2L,Bebidas,950.33,1150.10,780.55,1350.22,720.44
P00047,Jugo Baggio Multifruta 1L,Bebidas,850.22,980.55,700.33,1100.44,650.10
P00048,Jugo Cepita Naranja 1L,Bebidas,900.33,1050.10,720.55,1200.22,680.44
P00049,Cerveza Quilmes 1L,Bebidas,1800.22,2100.55,1600.33,2400.44,1500.10
P00050,Cerveza Brahma 1L,Bebidas,1700.33,2000.10,1550.55,2300.22,1450.44
P00051,Cerveza Andes Rubia 1L,Bebidas,1850.22,2150.55,1650.33,2450.44,1550.10
P00052,Pan Lactal Fargo 600g,Panificados,1200.22,1400.55,950.33,1600.44,900.10
P00053,Pan Lactal Bimbo 600g,Panificados,1180.33,1380.10,930.55,1580.22,880.44
P00054,Pan Lactal Lactal 600g,Panificados,1150.22,1350.55,900.33,1550.44,850.10
P00055,Pan de Campo Fargo 500g,Panificados,1300.33,1500.10,1050.55,1700.22,980.44
P00056,Pan Brioche Bimbo 500g,Panificados,1350.22,1550.55,1100.33,1750.44,1000.10
P00057,Pan Integral Fargo 600g,Panificados,1250.33,1450.10,1000.55,1650.22,950.44
P00058,Bizcochitos Don Satur 200g,Panificados,900.22,1100.55,750.33,1300.44,700.10
P00059,Bizcochitos 9 de Oro 200g,Panificados,880.33,1080.10,720.55,1280.22,680.44
P00060,Galletitas Chocolinas 170g,Panificados,950.22,1200.55,800.33,1400.44,750.10
P00061,Galletitas Oreo 118g,Panificados,1000.33,1250.10,850.55,1450.22,800.44
P00062,Galletitas Criollitas 100g,Panificados,700.22,900.55,550.33,1100.44,500.10
P00063,Galletitas Express 100g,Panificados,680.33,880.10,530.55,1080.22,480.44
P00064,Detergente Magistral Limón 750ml,Limpieza,1800.22,2100.55,1500.33,2400.44,1400.10
P00065,Detergente Ala Ultra 750ml,Limpieza,1750.33,2050.10,1480.55,2350.22,1380.44
P00066,Detergente Ayudín Limón 750ml,Limpieza,1700.22,2000.55,1450.33,2300.44,1350.10
P00067,Limpiador CIF Crema 500ml,Limpieza,1600.33,1900.10,1400.55,2200.22,1300.44
P00068,Limpiador Mr Músculo Baño 500ml,Limpieza,1650.22,1950.55,1450.33,2250.44,1350.10
P00069,Limpiador Ayudín Cocina 500ml,Limpieza,1580.33,1880.10,1380.55,2180.22,1280.44
P00070,Suavizante Vivere Primavera 900ml,Limpieza,2200.22,2500.55,1900.33,2800.44,1800.10
P00071,Suavizante Comfort Azul 900ml,Limpieza,2150.33,2450.10,1850.55,2750.22,1750.44
P00072,Suavizante Ala Floral 900ml,Limpieza,2100.22,2400.55,1800.33,2700.44,1700.10
P00073,Desinfectante Lysoform Aerosol 360ml,Limpieza,2500.33,2800.10,2200.55,3100.22,2100.44
